PLAYER,POSITION,TEAM,SALARY
Grant Jerrett,PF,Utah Jazz,0.947276
Kendrick Perkins,C,New Orleans Pelicans,0.947276
Kosta Koufos,C,Sacramento Kings,7.7
Tyus Jones,PG,Minnesota Timberwolves,1.28208
Andre Iguodala,SF,Golden State Warriors,11.710456
Jonas Jerebko,PF,Boston Celtics,5
Jared Sullinger,C,Boston Celtics,2.56926
Kelly Olynyk,C,Boston Celtics,2.16516
Kevin Durant,SF,Oklahoma City Thunder,20.158622
Jared Dudley,SF,Washington Wizards,4.375
Terrico White,SG,Phoenix Suns,0.845059
Bryce Dejean-Jones,SG,New Orleans Pelicans,0.169883
O.J. Mayo,SG,Milwaukee Bucks,8
Kobe Bryant,SF,Los Angeles Lakers,25
Thanasis Antetokounmpo,SF,New York Knicks,0.030888
Jordan Mickey,PF,Boston Celtics,1.17096
Russell Westbrook,PG,Oklahoma City Thunder,16.744218
Jarrett Jack,PG,Brooklyn Nets,6.3
Jordan Hill,C,Indiana Pacers,4
R.J. Hunter,SG,Boston Celtics,1.14864
Thaddeus Young,PF,Brooklyn Nets,11.235955
Marreese Speights,C,Golden State Warriors,3.815
Alex Len,C,Phoenix Suns,3.80712
Mirza Teletovic,PF,Phoenix Suns,5.5
Martell Webster,SF,Washington Wizards,5.6135
Brandon Jennings,PG,Orlando Magic,8.344497
Nemanja Bjelica,PF,Minnesota Timberwolves,3.950001
Bobby Portis,PF,Chicago Bulls,1.39116
Robin Lopez,C,New York Knicks,12.65
Paul Pierce,SF,Los Angeles Clippers,3.376
Danny Green,SG,San Antonio Spurs,10
Dennis Schroder,PG,Atlanta Hawks,1.7634
Karl-Anthony Towns,C,Minnesota Timberwolves,5.7036
James Johnson,PF,Toronto Raptors,2.5
Bismack Biyombo,C,Toronto Raptors,2.814
Gerald Wallace,SF,Philadelphia 76ers,10.105855
Reggie Jackson,PG,Detroit Pistons,13.913044
Jose Calderon,PG,New York Knicks,7.402812
Shannon Scott,PG,Toronto Raptors,0.525093
John Jenkins,SG,Dallas Mavericks,0.981348
Jonas Valanciunas,C,Toronto Raptors,4.660482
Vince Carter,SG,Memphis Grizzlies,4.088019
Stephen Curry,PG,Golden State Warriors,11.370786
Kirk Hinrich,SG,Chicago Bulls,2.85494
P.J. Hairston,SF,Charlotte Hornets,1.20144
Lance Stephenson,SF,Memphis Grizzlies,9
Anderson Varejao,PF,Golden State Warriors,0.289755
Kelly Oubre Jr.,SF,Washington Wizards,1.92024
Mike Conley,PG,Memphis Grizzlies,9.588426
Bruno Caboclo,SF,Toronto Raptors,1.524
Damjan Rudez,SF,Minnesota Timberwolves,1.1495
Terrence Jones,PF,Houston Rockets,2.48953
Jameer Nelson,PG,Denver Nuggets,4.345
Eric Bledsoe,PG,Phoenix Suns,13.5
Kyle Lowry,PG,Toronto Raptors,12
Michael Kidd-Gilchrist,SF,Charlotte Hornets,6.331404
Shaun Livingston,PG,Golden State Warriors,5.543725
Chandler Parsons,SF,Dallas Mavericks,15.3615
Jeff Teague,PG,Atlanta Hawks,8
Iman Shumpert,SG,Cleveland Cavaliers,8.988765
Paul George,SF,Indiana Pacers,17.120106
Kevin Love,PF,Cleveland Cavaliers,19.689
Cameron Payne,PG,Oklahoma City Thunder,2.02152
Alexis Ajinca,C,New Orleans Pelicans,4.389607
Ronald Roberts Jr.,PF,Toronto Raptors,0.525093
Erick Green,PG,Utah Jazz,0.099418
Lester Hudson,SG,Los Angeles Clippers,1.015421
Ben McLemore,SG,Sacramento Kings,3.1566
DeMarre Carroll,SF,Toronto Raptors,13.6
Courtney Lee,SG,Charlotte Hornets,5.675
Donatas Motiejunas,PF,Houston Rockets,2.288205
Troy Daniels,SG,Charlotte Hornets,0.947276
Gerald Henderson,SG,Portland Trail Blazers,6
James Ennis,SF,Memphis Grizzlies,0.845059
Kentavious Caldwell-Pope,SG,Detroit Pistons,2.89176
Derrick Williams,PF,New York Knicks,4
Ty Lawson,PG,Houston Rockets,12.404495
Marcin Gortat,C,Washington Wizards,11.217391
Nikola Vucevic,C,Orlando Magic,11.25
Bojan Bogdanovic,SG,Brooklyn Nets,3.42551
Beno Udrih,PG,Memphis Grizzlies,2.170465
Damien Wilkins,SG,Charlotte Hornets,0.947276
Giannis Antetokounmpo,SF,Milwaukee Bucks,1.95396
Mike Scott,PF,Atlanta Hawks,3.333333
Luol Deng,SF,Miami Heat,10.151612
Andrew Wiggins,SG,Minnesota Timberwolves,5.75868
Joel Anthony,C,Detroit Pistons,2.5
Ryan Hollins,C,Memphis Grizzlies,0.111444
Lucas Nogueira,C,Toronto Raptors,1.842
Matthew Dellavedova,PG,Cleveland Cavaliers,1.147276
Serge Ibaka,PF,Oklahoma City Thunder,12.25
E'Twaun Moore,SG,Chicago Bulls,1.015421
Walter Tavares,C,Atlanta Hawks,1
Boban Marjanovic,C,San Antonio Spurs,1.2
Isaiah Thomas,PG,Boston Celtics,6.912869
Aron Baynes,C,Detroit Pistons,6.5
Shabazz Napier,PG,Orlando Magic,1.29444
Elliot Williams,SG,Memphis Grizzlies,0.055722
Patrick Beverley,PG,Houston Rockets,6.486486
Kawhi Leonard,SF,San Antonio Spurs,16.4075
Corey Hawkins,PG,Miami Heat,0.525093
Cory Joseph,PG,Toronto Raptors,7
Josh McRoberts,PF,Miami Heat,5.543725
Darrell Arthur,PF,Denver Nuggets,2.814
Patrick Patterson,PF,Toronto Raptors,6.268675
Sergey Karasev,SG,Brooklyn Nets,1.59984
Greivis Vasquez,PG,Milwaukee Bucks,6.6
Doug McDermott,SF,Chicago Bulls,2.38044
Al-Farouq Aminu,SF,Portland Trail Blazers,8.042895
John Wall,PG,Washington Wizards,15.85195
Damian Lillard,PG,Portland Trail Blazers,4.236287
Nene Hilario,C,Washington Wizards,13
Richaun Holmes,PF,Philadelphia 76ers,1.074169
Omri Casspi,SF,Sacramento Kings,2.836186
Rudy Gay,SF,Sacramento Kings,12.403101
Reggie Williams,SF,San Antonio Spurs,1.185784
P.J. Tucker,SF,Phoenix Suns,5.5
Justise Winslow,SF,Miami Heat,2.48172
Keith Appling,PG,Orlando Magic,0.061776
Kendall Marshall,PG,Philadelphia 76ers,2.144772
Darren Collison,PG,Sacramento Kings,5.013559
Manu Ginobili,SG,San Antonio Spurs,2.814
James Harden,SG,Houston Rockets,15.756438
Steve Novak,SF,Oklahoma City Thunder,0.289755
Ryan Kelly,PF,Los Angeles Lakers,1.72425
Zaza Pachulia,C,Dallas Mavericks,5.2
Jordan Adams,SG,Memphis Grizzlies,1.4046
Brandan Wright,PF,Memphis Grizzlies,5.464
Jerian Grant,PG,New York Knicks,1.57236
Luke Ridnour,PG,Toronto Raptors,2.75
Tony Parker,PG,San Antonio Spurs,13.4375
Andre Roberson,SG,Oklahoma City Thunder,1.2108
Jarell Martin,PF,Memphis Grizzlies,1.23084
Andrew Bogut,C,Golden State Warriors,13.8
John Henson,PF,Milwaukee Bucks,2.943221
Arron Afflalo,SG,New York Knicks,8
JaKarr Sampson,SG,Philadelphia 76ers,0.258489
Chris Johnson,SF,Utah Jazz,0.981348
DeMar DeRozan,SG,Toronto Raptors,10.05
Bo McCalebb,PG,New Orleans Pelicans,0.525093
JaMychal Green,PF,Memphis Grizzlies,0.845059
Gordon Hayward,SF,Utah Jazz,15.40957
Jason Smith,PF,Orlando Magic,4.3
Nikola Pekovic,C,Minnesota Timberwolves,12.1
Brian Roberts,PG,Charlotte Hornets,2.85494
Nick Collison,PF,Oklahoma City Thunder,3.75
Sasha Kaun,C,Cleveland Cavaliers,1.276
Draymond Green,PF,Golden State Warriors,14.26087
Anthony Morrow,SG,Oklahoma City Thunder,3.344
Tyson Chandler,C,Phoenix Suns,13
Kent Bazemore,SF,Atlanta Hawks,2
Josh Huestis,SF,Oklahoma City Thunder,1.14024
Rodney Stuckey,PG,Indiana Pacers,7
